Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Mb21d2	Usp34	Cobl	Pcid2	Cobl	Kcnj6	Lpp	Lrrc4c	Cacng2	Gphn	Fnbp1	Fgf12	Fnbp1	Hnrnpa3
Lrrc4c	Ildr2	Smap1	Ccdc136	Abi2	Gga1	Slc9a3r1	Lrrc4b	Ildr2	Yes1	Smap1	Fnbp1	Fgf12	Set
Smap1	Adgra1	Fgg	Shank1	Mtss2	Smap1	Ctnnb1	Cxadr	Lrrc4b	Rps6kb1	Ndel1	Scn9a	Csnk2a1	Hnrnpa1
Prickle1	Slitrk5	Brcc3	Mapkbp1	Trmt44	KIAA1324-like homolog	Cdh2	Ildr2	Adgra1	Taldo1	Pex6	Smap1	Scn9a	Hnrnpa2b1
Brinp2	Prickle1	Shank1	Elfn1	Smap1	Lrrtm3	Ppp1r13b	Cacng2	Prr7	Slitrk5	Stambpl1	Nectin1	Gpaa1	Syncrip
Ildr2	Nck2	Gigyf1	Alg5	Brinp2	Tmem266	Cdh8	Adgra1	Lrrc4c	Cct8	Scn9a	Cxadr	Scn8a	Hnrnpdl
Nck2	Lrrc4b	Cyld	Pom121	Neo1	Aftph	Hepacam	Lrrtm3	Shisa9	Pdia3	Ensa	Septin6	Smap1	Hnrnpab
Lzts3	Dlg3	Homer1	Tbc1d5	Lrrc4c	Zdhhc17	Abi1	Slitrk5	Gria1	Elfn1	Gphn	Slc30a1	Rb1cc1	Kpna3
Shank1	Cacng2	Mdga2	Homer1	Grid1	Dlg3	Ctnna2	Gria1	Cacng8	Acot7	Tbc1d8	Ensa	Kcnc3	Hnrnpk
Hnrnpa1	Lzts3	Wdr35	Cyld	Mb21d2	Lrch1	Cdh7	Dlg3	Baiap2	Insyn1	Arfgap1	Mical3	Tbc1d8	Nap1l4
Prr7	Morn4	Zc3h18	Spata2	Pak2	Panx2	Magi2	Shisa9	Dlg3	Atp5f1d	Dip2b	Csnk2a1	Apba2	Nap1l1
Tnrc6b	Prr7	Zfr	Grasp	Caskin1	Igbp1	Cxadr	Lrrtm4	Slitrk5	Actr1a	Mical3	Cplx1	Cplx1	Ilf3
Sh3kbp1	Cit	Atp13a1	Oxr1	Wasf1	Mb21d2	Ezr	Cacng8	Lrrtm3	Slc8a3	Ppp1r1b	Cdv3	Palm2	Khdrbs3
Gigyf1	Kcnj4	Eps8	Cit	Ildr2	Slc12a6	Pdlim4	Prr7	Elfn2	Ptpn1	Cplx1	Lzic	Cox6a1	Ptbp2
Cyld	Shisa9	Cit	Homer2	Plppr3	Ppp1r16b	Ahcyl2	Magi2	Gria3	Cbr4	Palm2	Epn2	Cyc1	Prpf3
Mrpl37	Shank1	Enah	Nt5c1a	Dcc	Ppp1r2	Cdh20	Adgrb3	Cit	Gabrb2	Erc1	Shb	Rabep1	Apc
Slitrk5	Lrrc4c	Lzts3	Wasf1	Tbc1d10a	Adra1b	Morn4	Elfn2	Grin2b	Acly	Pak2	Dip2b	Scn1a	Mecp2
Eif4enif1	Lrrtm3	Tnrc6b	C16orf58 homolog	Sdk2	Kcnj3	Cdh11	Baiap2	Morn4	Coro2a	Apba2	Zdhhc5	Ank1	Sf3b3
Igsf9b	Tamalin	Tnrc6a	Dlg3	Cxadr	Arfip2	Cdh5	Abi1	Dlgap4	Cyld	Rabep1	Arfgap1	Slc6a7	Pcnp
Lrrc4b	Sh3kbp1	Lrrc7	Sh3kbp1	Kiaa1522	Vps45	Cdh10	Sytl5	Syngap1	Acot13	Igbp1	Pdap1	Nectin1	Rbm12
Top3b	Syngap1	Elmo1	Lrrc7	Tenm4	Slitrk3	Cdh6	Nlgn1	Shank1	Elfn2	Anxa6	Pak2	Pitpnm3	Hnrnpl
Frs3	Cyld	Asap1	Cspg4	Cacng8	Reps1	Pdlim5	Wasf1	Kcnj4	Glra3	Spata2	Stambpl1	Pdap1	Zfr
Peak1	Baiap2	Pcsk2	Cct7	Eps8	Kiaa0319l	Nf2	Ppp1r16b	Lrrc4	Mecp2	Glo1	Nck1	Otud7a	Hnrnpd
Shisa9	Dlgap2	Nyap1	Nono	Csrp1	Mtss2	Cdh12	Grid1	Adgrb3	Dlg3	Ank1	Fam189a1	Kcnq2	Hnrnpc
Elfn2	Eif4enif1	Mrpl37	Dlgap3	Astn2	Kcnb1	Uaca	Gria3	Cyld	Smg7	Pitpnm3	Fam13c	Fam189a1	Ddx42
Adgra1	Dab2ip	Mb21d2	Elfn2	Igbp1	Ppp6r2	Ccdc85c	Gas7	Shank3	Gabra2	Ppp2r2c	Septin11	Scn2b	Cpsf6
Tle5	Dlgap4	Wwc1	Grin2a	Asap1	Kiaa0100	Usp6nl	Frs3	Elfn1	Smap1	Nck1	Carmil2	Kcnb1	Sugp2
Astn2	Dlg4	Nebl	Cct8	Mrpl37	Cdv3	Ccdc85a	Morn4	Dlgap2	Ric8a	Elfn1	Snap91	Mical3	Cpsf7
